MACaddress,SerialNumber,BuildDate,TestDate
346F92000533,8642WF04X00134,01/24/2014,01/24/2014
346F92000534,8642WF04X00135,01/24/2014,01/24/2014
346F92000535,8642WF04X00125,01/24/2014,01/24/2014
346F92000536,8642WF04X00131,01/24/2014,01/24/2014
346F92000537,8642WF04X00136,01/24/2014,01/24/2014
346F92000538,8642WF04X00126,01/24/2014,01/24/2014
346F92000539,8642WF04X00128,01/24/2014,01/24/2014
346F9200053A,8642WF04X00127,01/24/2014,01/24/2014
346F9200053B,8642WF04X00132,01/24/2014,01/24/2014
346F9200053C,8642WF04X00133,01/24/2014,01/24/2014
346F9200053D,8642WF04X00124,01/24/2014,01/24/2014
346F9200053E,8642WF04X00627,01/24/2014,01/24/2014
346F9200053F,8642WF04X00138,01/24/2014,01/24/2014
346F92000540,8642WF04X00129,01/24/2014,01/24/2014
346F92000541,8642WF04X00183,01/24/2014,01/24/2014
346F92000542,8642WF04X00179,01/24/2014,01/24/2014
346F92000543,8642WF04X00171,01/24/2014,01/24/2014
346F92000544,8642WF04X00167,01/24/2014,01/24/2014
346F92000545,8642WF04X00177,01/24/2014,01/24/2014
346F92000546,8642WF04X00181,01/24/2014,01/24/2014
346F92000547,8642WF04X00185,01/24/2014,01/24/2014
346F92000548,8642WF04X00175,01/24/2014,01/24/2014
346F92000549,8642WF04X00143,01/24/2014,01/24/2014
346F9200054A,8642WF04X00130,01/24/2014,01/24/2014
346F9200054B,8642WF04X00141,01/24/2014,01/24/2014
346F9200054C,8642WF04X00137,01/24/2014,01/24/2014
346F9200054D,8642WF04X00059,01/24/2014,01/24/2014
346F9200054E,8642WF04X00053,01/24/2014,01/24/2014
346F9200054F,8642WF04X00055,01/24/2014,01/24/2014
346F92000550,8642WF04X00057,01/24/2014,01/24/2014
346F92000551,8642WF04X00147,01/24/2014,01/24/2014
346F92000552,8642WF04X00051,01/24/2014,01/24/2014
346F92000553,8642WF04X00091,01/24/2014,01/24/2014
346F92000554,8642WF04X00079,01/24/2014,01/24/2014
346F92000555,8642WF04X00089,01/24/2014,01/24/2014
346F92000556,8642WF04X00081,01/24/2014,01/24/2014
346F92000557,8642WF04X00083,01/24/2014,01/24/2014
346F92000559,8642WF04X00093,01/24/2014,01/24/2014
346F9200055A,8642WF04X00087,01/24/2014,01/24/2014
346F9200055B,8642WF04X00085,01/24/2014,01/24/2014
346F9200055C,8642WF04X00101,01/24/2014,01/24/2014
346F9200055D,8642WF04X00113,01/24/2014,01/24/2014
346F9200055E,8642WF04X00260,01/24/2014,01/24/2014
346F9200055F,8642WF04X00262,01/24/2014,01/24/2014
346F92000560,8642WF04X00111,01/24/2014,01/24/2014
346F92000561,8642WF04X00095,01/24/2014,01/24/2014
346F92000562,8642WF04X00103,01/24/2014,01/24/2014
346F92000563,8642WF04X00121,01/24/2014,01/24/2014
346F92000564,8642WF04X00117,01/24/2014,01/24/2014
346F92000565,8642WF04X00056,01/24/2014,01/24/2014
